turn,sender,addressed,ts_ms
466,jobbly,,1542896815682
467,u3517603,,1542896818057
468,ezclappa,rtheeraser,1542896851994
469,casie1,,1542897103341
470,ambitionrl,,1542897106405
471,lawreyhd,,1542897187353
472,aeorge,,1542982476429
473,xardes__,,1542982526628
474,superbueb,,1542982671374
475,jcraiden,,1542982767713
476,kate707,,1542982790804
477,solaniumg,rdulive,1542982812344
478,kate707,yobimapi,1542982906979
479,jcraiden,,1542983088188
480,kate707,rdulive,1542983111911
481,superbueb,,1542983132097
482,rdulive,,1542983191802
483,dumek,,1542983262449
484,kate707,,1542983516640
485,yobimapi,loldajoe,1542983519761
486,loldajoe,,1542983547073
487,mof990,,1542983563777
488,inlegend,,1542983640308
489,phantan304,,1542983643090
490,mrlexgr,loldajoe,1542983679117
491,coinstone,,1542983685272
492,phantan304,,1542983711968
493,gonzopunchi,,1542983767976
494,yobimapi,,1542983780557
495,loldajoe,,1542983834812
496,phantan304,,1542983949399
497,streamelements,,1542984140275
498,ajax2854,hs_dyer,1542984271329
499,gintokired,,1542984289722
500,hs_dyer,rdulive,1542984320553
501,superbueb,,1542984333314
502,streamelements,,1542984385534
503,ajax2854,,1542984412341
504,michaelblue,,1542984438711
505,steelchiliboy,,1542984497728
506,emilbrun97,,1542984567906
507,superbueb,,1542984595592
508,ajax2854,,1542984615800
509,rodp69,,1542984621682
510,xardes__,,1542984626331
511,cloud9csgg,,1542984638035
512,yobimapi,,1542984638490
513,ridian_bg,rdulive,1542984669102
514,mrguwee,rdulive,1542984737371
515,rtheeraser,,1542984797597
516,nallepalma,,1542984932202
517,streamelements,,1542984953406
518,brputerbaugh83,,1542984961785
519,venomancerbaki,,1542985047537
520,phantan304,,1542985069149
521,nlghthawkk,,1542985095732
522,lgd251,,1542985152553
523,kylefirman,,1542985167599
524,mrlexgr,,1542985172910
525,rodeon66,,1542985175106
526,rodeon66,,1542985175108
527,nlghthawkk,,1542985183263
528,badyacs,,1542985190077
529,rtheeraser,,1542985245030
530,soyahoy,,1542985310923
531,nlghthawkk,,1542985312332
532,neilfps,rdulive,1542985357917
533,mrlexgr,,1542985359055
534,ajax2854,ashof1,1542985417569
535,mrguwee,kylefirman,1542985421845
536,hustler794,,1542985427215
537,buisnasd,,1542985427511
538,phantan304,,1542985427884
539,phuron,mrguwee,1542985428197
540,fugkaksoispistededed,,1542985428228
541,pffthmgcdrgn,,1542985431979
542,yenxa,,1542985449352
543,mrguwee,,1542985478113
544,bogdanm23,,1542985532640
545,fugkaksoispistededed,,1542985556672
546,ridian_bg,,1542985592960
547,nlghthawkk,,1542985593804
548,lgd251,,1542985594540
549,yobimapi,,1542985595438
550,yenxa,,1542985644104
551,prettiestpony,,1542985647604
552,phantan304,,1542985650146
553,beych,,1542985654893
554,amael96,,1542985662834
555,nifrodel,yobimapi,1542985688065
556,kellhus123,,1542985718471
557,yenxa,,1542985720830
558,hs_dyer,rdulive,1542985728446
559,mrlexgr,rdulive,1542985734083
560,forefather,,1542985741809
561,phantan304,,1542985746162
562,hs_dyer,,1542985753670
563,phantan304,,1542985777472
564,entro003,,1542985813006
565,yenxa,,1542985830242
566,yenxa,,1542985845714
567,pffthmgcdrgn,,1542985849945
568,entro003,,1542985859982
569,xxnam,,1542985860857
570,blackww_253,,1542985887725
571,soyahoy,,1542985892128
572,yenxa,,1542985895550
573,hs_dyer,,1542985902497
574,apeinsupershape,,1542985903677
575,kellhus123,rdulive,1542985924853
576,yenxa,,1542985926356
577,nabiee,,1542985937750
578,amael96,,1542985973613
579,die3telegion,hustler794,1542985993198
580,hip3rx,,1542986050384
581,gswblew321lead,,1542986055154
582,ktfy,,1542986065534
583,ktfy,,1542986065540
584,valia11,,1542986098867
585,yenxa,,1542986127694
586,blackww_253,,1542986156262
587,ktfy,,1542986185710
588,ktfy,,1542986224813
589,badyacs,hustler794,1542986231217
590,hustler794,yenxa,1542986239819
591,nabiee,,1542986251688
592,yenxa,,1542986253209
593,yenxa,,1542986255786
594,ori0ntv,,1542986255955
595,yenxa,,1542986274555
596,corpsepunch,,1542986284673
597,ktfy,,1542986351054
598,yenxa,,1542986361123
599,nifrodel,,1542986372631
600,badyacs,,1542986384853
601,entro003,blackww_253,1542986410206
602,yenxa,,1542986426260
603,ori0ntv,,1542986426949
604,aleximj,rdulive,1542986638803
605,xan1982,,1542986649381
606,kraptine,,1542986680231
607,itstron,,1542986718690
608,soyahoy,,1542986767791
609,itstron,,1542986773429
610,twitchviewer1992,,1542986841769
611,streamelements,,1542987158786
612,grognosh2,,1542987174316
613,yenxa,,1542987431662
614,vladislav114,,1542987435320
615,streamelements,,1542987468756
616,nifrodel,rdulive,1542987481037
617,streamelements,,1542987486760
618,durrok,rdulive,1542987517017
619,vtz_blindy,,1542987535731
620,yenxa,,1542987603303
621,hip3rx,,1542987641206
622,streamelements,,1542987806192
623,nabiee,rdulive,1542987811035
624,nifrodel,,1542987858695
625,inspiredbygreen,rdulive,1542987876503
626,notbillcosby_,,1542987878711
627,franco_xxx,,1542987884800
628,xquerbg,,1542987888222
629,streamelements,,1542987888563
630,yenxa,,1542987958527
631,mrlexgr,,1542987995419
632,yenxa,,1542988003066
633,blackww_253,,1542988020420
634,bizouncehs,,1542988099000
635,lucjfe,,1542988102036
636,xxdeadend,,1542988105131
637,ofthepeopleofthenight,,1542988178403
638,arcaddia_,,1542988309675
639,arcaddia_,,1542988309681
640,veiskryd,,1542988318910
641,veiskryd,,1542988356152
642,reseus,,1542988360324
643,laserbamhs,rdulive,1542988388444
644,karshberlg,,1542988418350
645,blackww_253,yenxa,1542988425521
646,bogdansky,,1542988517389
647,stanilavestani,,1542988536220
648,yenxa,,1542988545033
649,notbillcosby_,,1542988590675
650,west4u2,yenxa,1542988611848
651,yenxa,,1542988634029
652,skiccho,,1542988646717
653,yenxa,,1542988674885
654,yenxa,,1542988683352
