channel,sender,words
perrkz,wheelboy,2
perrkz,hallrs,6
xqcow,lawnofdoom,1
giantwaffle,duelrl,1
perrkz,twitchn00b123,1
sodapoppin,darkspecial,1
perrkz,twitchn00b123,2
giantwaffle,comicalvoid,1
perrkz,bysul,1
perrkz,bloodreyna,7
perrkz,pgro,6
perrkz,prefermidlane,2
perrkz,bloodreyna,4
perrkz,twitchn00b123,4
sodapoppin,seasings,1
perrkz,nifftyyobro,2
perrkz,bloodreyna,6
perrkz,rcubela,10
perrkz,gatyesz,1
sodapoppin,dawidous,1
sodapoppin,fossabot,18
perrkz,hallrs,5
perrkz,bloodreyna,11
perrkz,bizeeey,2
perrkz,arthus_0,2
perrkz,na_less_semis_than_jankos,2
giantwaffle,crazyrabbittv,3
bobross,pearlvision,3
perrkz,suitwo,3
perrkz,kennrouz,3
perrkz,raccoonteur,1
perrkz,khirsah6,3
perrkz,hypelastika,3
perrkz,hallrs,5
sodapoppin,greyface127,2
perrkz,bloodreyna,4
perrkz,dwarfishtarzan,2
perrkz,antroid2,4
perrkz,adaptlol1,14
sodapoppin,drybonevalley,1
perrkz,steamcancer,1
perrkz,hallrs,3
sodapoppin,cpcp3,1
perrkz,apxshogun,10
perrkz,ztsheva,15
sodapoppin,solidomaxino,2
perrkz,lekza,9
perrkz,kesujo,3
perrkz,vietnamfarmers_v_usa_army,8
perrkz,faiir1337,1
perrkz,layzeede,1
perrkz,prothro,1
bobross,caladuravaleriani_forgov,2
perrkz,pgro,18
sodapoppin,zynarch,4
perrkz,literafro,4
perrkz,always__me,8
perrkz,yudai95,6
perrkz,bizeeey,11
sodapoppin,samuel_,2
sodapoppin,tkaslek,0
perrkz,wheelboy,5
perrkz,lucker7,1
perrkz,cinacious,12
perrkz,heltvrickad,6
perrkz,heltvrickad,1
sodapoppin,kneecokneecoknee,1
bobross,veronica_sawyer,3
perrkz,kingroders,3
perrkz,barper618,3
perrkz,robin654,1
perrkz,suitwo,3
perrkz,adeptshinobi,5
perrkz,kennrouz,5
perrkz,nickholaihel,9
perrkz,chetsup,3
perrkz,eddy_kr,4
perrkz,kingroders,5
perrkz,koteczegx,2
xqcow,ee3vo,1
xqcow,logicalforce,1
perrkz,soulsneeded,5
perrkz,ktzdezmark,5
perrkz,joviboo,6
perrkz,stfu_jatt,3
giantwaffle,shutterlag,4
perrkz,catchingyouirl,1
perrkz,reavihc,2
perrkz,trypee,5
perrkz,kutangesposampas,1
perrkz,specialducklin,3
perrkz,ld392,5
perrkz,nickoone,1
perrkz,euler9090,10
perrkz,xarcus96,1
perrkz,foolsbraingaming,1
perrkz,kesujo,3
perrkz,nohandsadc,6
perrkz,tomatomac,1
perrkz,wheelboy,2
perrkz,steamcancer,1
perrkz,qiluklol,1
perrkz,nickoone,1
perrkz,literafro,1
perrkz,kingroders,5
perrkz,comexandxgetxit,5
perrkz,renerise,1
perrkz,soybean2324,1
sodapoppin,cpcp3,7
perrkz,reesboo,5
perrkz,soybean2324,5
perrkz,yinuic,5
perrkz,nickoone,2
giantwaffle,ordained_existence,5
perrkz,nickoone,1
perrkz,gatyesz,4
perrkz,bizeeey,1
perrkz,mrjaywastaken,1
disguisedtoast,tempzy1993,1
xqcow,potateeeeees,0
perrkz,officialkev2k,0
perrkz,na_less_semis_than_jankos,1
sodapoppin,susz_,1
xqcow,harper_,2
perrkz,blcked69,1
perrkz,eddy_kr,1
perrkz,toosload,2
perrkz,kingroders,3
perrkz,blcked69,2
sodapoppin,lkrythrexl,1
xqcow,este113,1
disguisedtoast,dindexx,1
perrkz,minijakeis,6
bobross,edmistja,13
giantwaffle,xyzgamerz,11
perrkz,jojioo,4
sodapoppin,sheerasininity3,1
sodapoppin,surethingman_,7
perrkz,the_cm_fran,6
disguisedtoast,max1res6,5
sodapoppin,xinitoro,1
